deviceId,timestamp,AccX,AccY,AccZ,Activity
148,1696918587,2.5,-3.91,-8.28,RUS
148,1696918587,2.03,-3.28,-8.59,RUS
148,1696918587,2.34,-3.28,-8.59,RUS
148,1696918587,2.66,-3.12,-8.59,RUS
148,1696918587,2.19,-2.81,-8.75,RUS
148,1696918587,2.5,-2.66,-8.59,RUS
148,1696918587,2.5,-2.81,-8.59,RUS
148,1696918587,2.34,-3.12,-8.44,RUS
148,1696918587,2.03,-2.66,-8.59,RUS
148,1696918587,2.5,-3.44,-8.44,RUS
148,1696918587,2.66,-2.66,-8.59,RUS
148,1696918587,2.34,-2.5,-8.91,RUS
148,1696918587,2.5,-2.19,-8.75,RUS
148,1696918587,2.5,-2.5,-8.44,RUS
148,1696918587,2.34,-3.59,-8.59,RUS
148,1696918587,2.34,-2.81,-8.75,RUS
148,1696918587,2.66,-2.81,-8.75,RUS
148,1696918587,2.66,-2.81,-8.59,RUS
148,1696918587,2.5,-2.66,-8.91,RUS
148,1696918587,2.5,-3.44,-7.81,RUS
148,1696918587,2.66,-2.97,-8.59,RUS
148,1696918587,3.91,-4.06,-8.28,RUS
148,1696918587,3.91,-3.75,-8.44,RUS
148,1696918587,2.97,-2.97,-8.44,RUS
148,1696918587,3.12,-3.59,-7.97,RUS
148,1696918587,4.38,-4.06,-8.12,RUS
148,1696918587,1.09,-3.75,-2.19,RUS
148,1696918587,3.28,-7.5,-3.44,RUS
148,1696918587,4.38,-7.97,-7.81,RUS
148,1696918587,5.47,-6.09,7.34,RUS
148,1696918587,4.53,-8.12,-0.16,RUS
148,1696918587,3.44,-5.47,10.0,RUS
148,1696918587,2.81,8.28,-2.97,RUS
148,1696918587,2.66,11.88,-0.62,RUS
148,1696918587,3.75,7.34,-4.38,RUS
148,1696918587,2.97,7.5,-4.53,RUS
148,1696918587,3.12,7.66,-4.38,RUS
148,1696918587,2.97,7.97,-4.06,RUS
148,1696918587,2.97,7.97,-4.06,RUS
148,1696918587,2.66,7.97,-2.66,RUS
148,1696918587,3.28,7.97,-3.75,RUS
148,1696918587,3.44,7.81,-3.44,RUS
148,1696918587,3.59,7.97,-3.28,RUS
148,1696918587,4.22,7.66,-2.97,RUS
148,1696918587,3.91,7.97,-2.81,RUS
148,1696918587,3.75,8.28,-2.81,RUS
148,1696918587,3.12,8.28,-3.12,RUS
148,1696918587,3.12,8.12,-3.59,RUS
148,1696918587,2.97,8.12,-3.75,RUS
148,1696918587,2.97,8.28,-3.59,RUS
148,1696918587,3.12,8.12,-4.06,RUS
148,1696918587,3.12,7.97,-3.59,RUS
148,1696918587,2.97,8.12,-3.59,RUS
148,1696918587,2.97,8.12,-3.44,RUS
148,1696918587,3.12,8.12,-3.44,RUS
148,1696918587,3.12,7.97,-3.75,RUS
148,1696918587,2.66,8.28,-3.59,RUS
148,1696918587,3.12,7.97,-3.59,RUS
148,1696918587,2.97,8.12,-3.59,RUS
148,1696918587,2.81,8.12,-3.75,RUS
148,1696918587,3.12,7.97,-3.59,RUS
148,1696918587,3.12,8.12,-3.28,RUS
148,1696918587,2.97,8.12,-3.44,RUS
148,1696918587,3.28,8.12,-3.44,RUS
148,1696918587,3.28,7.97,-3.44,RUS
148,1696918587,3.12,8.28,-3.28,RUS
148,1696918587,2.97,8.12,-2.97,RUS
148,1696918587,2.81,8.28,-3.28,RUS
148,1696918587,2.97,8.28,-3.28,RUS
148,1696918587,2.97,8.28,-3.28,RUS
148,1696918587,3.12,8.28,-3.12,RUS
148,1696918587,2.81,8.12,-3.28,RUS
148,1696918587,3.12,8.28,-3.12,RUS
148,1696918587,2.97,8.12,-3.28,RUS
148,1696918587,2.97,8.28,-3.12,RUS
